Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma/Taste Threshold Values
3-Isoadenosine 5'-phosphate,3081991,sweet-like,C1=NC2=C(N=CN(C2=N1)[C@H]3[C@@H]([C@@H]([C@H](O3)COp(=O)(O)O)O)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
Adenosine 5'-(O-methylphosphate),3082029,sweet-like,COp(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3-Methyllactose,3082374,sweet,COC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Osladin,3082381,sweet,C[C@H]1CC[C@@H](O[C@@H]1O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)[C@@H](C)C3CC[C@H]4[C@@]3(CC[C@@H]5[C@@H]4CC(=O)[C@H]6[C@@]5(CC[C@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)C)C,flavorDB,The Aroma/Taste threshold values foris unknown
"1,6-Anhydrolactose",3082398,sweet,C1[C@H]2[C@H]([C@@H]([C@H]([C@@H](O1)O2)O)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Invertose,3082460,sweet,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O.C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
6-Deoxy-manno-heptopyranose,3082524,sweet,C(CO)[C@H]([C@H]([C@@H]([C@@H](C=O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Sugeroside,3082543,bitter,CC1(C2CCC34CC(CCC3C2(CCC1=O)C)C(C4)(COC5C(C(C(C(O5)CO)O)O)O)O)C,flavorDB,The Aroma/Taste threshold values foris unknown
Wushanicariin,3082728,sweet-like,CC(=CCC1=CC2=C(C=C1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)OC(=CC2=O)C4=CC(=C(C(=C4)O)OC)O)C,flavorDB,The Aroma/Taste threshold values foris unknown
viscumneoside vI,3082946,sweet-like,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=O)C[C@H](OC3=C2)C4=CC(=C(C=C4)O)OC)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Glyeurysaponin,3083268,sweet-like,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,flavorDB,The Aroma/Taste threshold values foris unknown
pseudo-ginsenoside-rI3,3083376,sweet-like,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)COC7C(C(C(C(O7)C(=O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)C)C)C2C1)C)C(=O)OC9C(C(C(CO9)O)O)O)C,flavorDB,The Aroma/Taste threshold values foris unknown
3'-C-Methyladenosine diphosphate,3083432,sweet-like,COC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)Op(=O)(O)Op(=O)(O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Cellulose acetate propionate,3084039,odorless,CCC(=O)OCC1C(C(C(C(O1)OC(=O)CC)OC(=O)CC)OC(=O)CC)OC2C(C(C(C(O2)COC(=O)CC)OC(=O)CC)OC(=O)CC)OC(=O)CC.CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C.C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Sucraloxum,3084100,sweet,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.[OH-].[Al+3],flavorDB,The Aroma/Taste threshold values foris unknown
ferric fructose,3084114,sweet,C1[C@H]([C@H]([C@@H]([C@@](O1)(CO)O)O)O)O.[K+].[fe+3],flavorDB,The Aroma/Taste threshold values foris unknown
t-Muurolol,3084331,"spicy,herbal,weak spice,herb",CC1=C[C@H]2[C@@H](CC[C@]([C@H]2CC1)(C)O)C(C)C,flavorDB,The Aroma/Taste threshold values foris unknown
Eriodictyol-7-O-glucoside,3084727,sweet-like,C1C(OC2=CC(=CC(=C2C1=O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Ethoxylated methyl D-glucoside,3085029,sweet,COC1[C@@H]([C@H]([C@@H]([C@H](O1)COCCOCCO)OCCOCCO)OCCOCCO)OCCOCCO,flavorDB,The Aroma/Taste threshold values foris unknown
Saparal,3085071,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)OC6[C@H]([C@@H]([C@H]([C@@H](O6)CO)O)O)O)C)C)(C)C)OC7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Eugenyl isovalerate,3085213,"clove,fruity",CC(C)CC(=O)OC1=C(C=C(C=C1)CC=C)OC,flavorDB,Aroma Threshold Values:Spice-type odor
rebaudioside C,3085268,sweet,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@]34CCC5[C@@]6(CCC[C@@](C6CC[C@]5(C3)CC4=C)(C)C(=O)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
vetivenol,3085365,"sandalwood,root,sweet,woody,balsam",C[C@@H]1CC(C=C([C@@]12CCC(=C(C)C)C2)C)O,flavorDB,The Aroma/Taste threshold values foris unknown
"(2r)-2,3-dihydroxypropyl decanoate",3085401,bitter,CCCCCCCCCC(=O)OC[C@@H](CO)O,flavorDB,The Aroma/Taste threshold values foris unknown
L-Gluconic acid,3085666,sweet,C([C@@H]([C@@H]([C@H]([C@@H](C(=O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
D-Gal-(1->4)-beta-D-Glc,3086428,sweet,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"2,3,4,5,6-pentahydroxyhexanal",3086538,sweet,[13CH2]([13CH]([13CH]([13CH]([13CH]([13CH]=O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Hidrosmin,3087722,sweet-like,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC4=C(C(=C3)OCCO)C(=O)C=C(O4)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"Diazene, (4-methylphenyl)[[(4-methylphenyl)hydrazono]phenylmethyl]-",3094792,sweet-like,CC1=CC=C(C=C1)NN=C(C2=CC=CC=C2)N=NC3=CC=C(C=C3)C,flavorDB,The Aroma/Taste threshold values foris unknown
"3,5-Diphenyl-1-(o-tolyl)formazan",3095457,sweet-like,CC1=CC=CC=C1N=NC(=NNC2=CC=CC=C2)C3=CC=CC=C3,flavorDB,The Aroma/Taste threshold values foris unknown
bAS 00380305,3103040,sweet,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(=O)N)N,flavorDB,The Aroma/Taste threshold values foris unknown
2-(2-Amino-3-phenyl-propionylamino)-4-methyl-pentanoic acid methyl ester,3131005,sweet,CC(C)CC(C(=O)OC)NC(=O)C(CC1=CC=CC=C1)N,flavorDB,The Aroma/Taste threshold values foris unknown
AC1MKU3X,3163205,bitter,CC(C)OC1=NS(=O)(=O)C2=CC=CC=C21,flavorDB,The Aroma/Taste threshold values foris unknown
[18f]fluorodeoxyglucose,3232583,sweet,C(C1[C@H](C([C@@H]([C@@H](O1)O)[18f])O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
D-Mannonic acid,3246006,sweet,C([C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
MK-53,3321199,bitter,CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(C=C5C)O)O)C)OC1=O)O)O)C)O,flavorDB,The Aroma/Taste threshold values foris unknown
"3-Methylcyclohexane-1,2-dione",3321360,savory,CC1CCCC(=O)C1=O,flavorDB,"The Aroma/Taste threshold values for1-METHYL-2,3-CYCLOHEXADIONEis unknown"
Maltol isobutyrate,3354132,"berry,jam,strawberry,cotton,sweet,tropical,fruity,candy",CC1=C(C(=O)C=CO1)OC(=O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 to 30 ppm; sweet, jamy, creamy, tropical, brown and berry-like, fruity, milky, caramellic with bubble gum and cotton candy nuances"
Cyclohexylsulfamate,3372845,sweet,C1CCC(CC1)NS(=O)(=O)[O-],flavorDB,The Aroma/Taste threshold values foris unknown
2'-fucosyl-D-lactose,3411518,sweet,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"Mannose alpha1,3-Mannose, alpha-Methyl Glycoside",3476988,sweet,COC1C(C(C(C(O1)CO)O)OC2C(C(C(C(O2)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
9-(5-O-phosphonatopentofuranosyl)-9H-purin-6-amine,3482394,sweet-like,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COp(=O)([O-])[O-])O)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
2-(Ethoxymethyl)phenol,3486665,"vanilla,smoky,sweet,castoreum",CCOCC1=CC=CC=C1O,flavorDB,The Aroma/Taste threshold values foro-(ETHOXYMETHYL)PHENOLis unknown
"Diazene, (4-methylphenyl)[phenyl(phenylhydrazono)methyl]-",3494325,sweet-like,CC1=CC=C(C=C1)N=NC(=NNC2=CC=CC=C2)C3=CC=CC=C3,flavorDB,The Aroma/Taste threshold values foris unknown
6-O-Glucosylmaltose,3514701,sweet,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Eriocitrin,3564542,sweet-like,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
31704-80-0,3578033,"cyclamen,vegetable,fatty,watermelon,cucumber,floral,fruity,green",CC1=CC=C(O1)C(C)CC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, fruity with fatty nuances"
"Maltotriitol, >=95%",3625615,sweet,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(CO)O)O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
phe-phe-phe,3625947,bitter,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
StK737742,3648225,"vanilla,bitter,very mild",COC1=C(C=CC(=C1)C=O)OC2C(C(C(C(O2)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
propyl 4-O-hexopyranosylhexopyranoside,3650195,sweet,CCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Sweeta,3665684,sweet,C1=CC=C2C(=C1)C(=NS2(=O)=O)[O-],flavorDB,The Aroma/Taste threshold values foris unknown
3-[(2-O-hexopyranuronosylhexopyranuronosyl)oxy]-11-oxoolean-12-en-29-oate,3717101,sweet-like,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)[O-])C)C)C)C,flavorDB,The Aroma/Taste threshold values foris unknown
"5-fluoro-6-(hydroxymethyl)oxane-2,3,4-triol",3719039,sweet,C(C1C(C(C(C(O1)O)O)O)f)O,flavorDB,The Aroma/Taste threshold values foris unknown
2-Ethylbenzenethiol,3734338,"sulfurous,roasted",CCC1=CC=CC=C1S,flavorDB,"Taste Threshold Values:Taste characteristics at 0.1 ppm; onion, horseradish, nutty, meaty, fishy with roasted sesame seed and toasted bread notes"
Isomaltulose,3749604,sweet,C(C1C(C(C(C(O1)OCC2C(C(C(O2)(CO)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Celery ketone,3782139,"green,cumin,fresh,celery",CCCC1CC(=CC(=O)C1)C,flavorDB,The Aroma/Taste threshold values for3-METHYL-5-PROPYL-2-CYCLOHEXEN-1-ONEis unknown
Sorbitan Monostearate,3793749,bland,CCCCCCCCCCCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O,flavorDB,The Aroma/Taste threshold values forSORBITAN MONOSTEARATEis unknown
Neotam,3804937,sweet,CC(C)(C)CCNC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)OC,flavorDB,The Aroma/Taste threshold values forNEOTAMEis unknown
pectolinarin,3818047,sweet-like,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)OC)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
489-53-2,3819217,bitter,CC1(C(O1)CC2=C(C=CC3=C2OC(=O)C=C3)OC)C,flavorDB,The Aroma/Taste threshold values foris unknown
"4-fluoro-6-(hydroxymethyl)oxane-2,3,5-triol",3832553,sweet,C(C1C(C(C(C(O1)O)O)f)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"1,5-Diphenyl-3-(p-tolyl)formazan",3837287,sweet-like,CC1=CC=C(C=C1)C(=NNC2=CC=CC=C2)N=NC3=CC=CC=C3,flavorDB,The Aroma/Taste threshold values foris unknown
tragopogonsaponin A,3846150,sweet-like,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C(=O)O)C,flavorDB,The Aroma/Taste threshold values foris unknown
"1,3,3-trimethyl-7-oxabicyclo[4.1.0]heptane-2,5-dione",3853254,"sweet,camphor",CC1(CC(=O)C2C(C1=O)(O2)C)C,flavorDB,"Aroma Threshold Values:Medium strength odor, camphoreous type"
St005216,3910626,sweet-like,CC12CCC(CC1C3=CC(=O)C4C5(CCC(CC5CCC4(C3(CC2)C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)C(=O)O)O)O)O)C)(C)C(=O)O.CC12CCC(CC1C3=CC(=O)C4C5(CCC(CC5CCC4(C3(CC2)C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)C(=O)O)O)O)O)C)(C)C(=O)O.[Zn],flavorDB,The Aroma/Taste threshold values foris unknown
Chrysamminic acid,3938245,bitter,C1=C(C2=C(C(=C1[N+](=O)[O-])O)C(=O)C3=C(C2=O)C(=CC(=C3O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],flavorDB,The Aroma/Taste threshold values foris unknown
Ethyl (4-methylphenoxy)acetate,4047281,"cherry,hay,fruity,powdery",CCOC(=O)COC1=CC=C(C=C1)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; fruity, cherry cocoa with nut skin nuance"
65894-83-9,4120025,"burnt,sulfurous,cocoa,nut skin,corn,green",CC1C(=NC(S1)CC(C)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sulfur-like, nutty, brown, meaty, burnt corn"
"2,3,4,5,6-pentahydroxyhexanoate",4134252,sweet,C(C(C(C(C(C(=O)[O-])O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"Adenosine 5'-(trihydrogen diphosphate), monosodium salt",4145993,sweet-like,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COp(=O)(O)Op(=O)(O)[O-])O)O)N.[Na+],flavorDB,The Aroma/Taste threshold values foris unknown
2-(2-acetamidoacetamido)-3-phenylpropanoic acid,4160231,sweet,CC(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
AC1N5A5j,4168454,sweet,CC(C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CN,flavorDB,The Aroma/Taste threshold values foris unknown
"2,5-Dihydroxy-1,4-dioxane-2,5-dimethanol",4180364,"cooling,sweet",C1C(OCC(O1)(CO)O)(CO)O,flavorDB,The Aroma/Taste threshold values foris unknown
3alpha-Mannobiose,4195243,sweet,C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
St50981082,4197495,sulfurous,CCCCCCCOCCS,flavorDB,The Aroma/Taste threshold values foris unknown
Ethyl |A-lactoside,4200772,sweet,CCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Digalactosyl diglyceride,4205683,sweet,C(COCCCOC1C(C(C(C(O1)CO)O)O)O)COC2C(C(C(C(O2)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Acef,4214199,bitter,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+],flavorDB,The Aroma/Taste threshold values foris unknown
Neoeriocitrin,4278576,sweet-like,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"2-(2,3-dihydroxypropoxy)-6-(hydroxymethyl)oxane-3,4,5-triol",4302177,sweet,C(C1C(C(C(C(O1)OCC(CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"2,4,5,6-tetrahydroxyhexanal",4377708,sweet,C(C(C=O)O)C(C(CO)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"3-fluoro-2,4,5,6-tetrahydroxyhexanal",4386393,sweet,C(C(C(C(C(C=O)O)f)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3-O-(alpha-L-fucopyranosyl)-D-galactose,4415668,sweet,CC1C(C(C(C(O1)OC2C(C(OC(C2O)O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
trp-phe,4427709,bitter,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C32)N,flavorDB,The Aroma/Taste threshold values foris unknown
glycylleucylphenylalanine,4433883,sweet,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)CN,flavorDB,The Aroma/Taste threshold values foris unknown
"6-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}hexane-1,2,3,4,5-pentol",4454759,sweet,C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
HEXYL-beta-D-GLUCOpYrANOSIDE,4462283,sweet,CCCCCCOC1C(C(C(C(O1)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
N-(benzenesulfonyl)benzenecarboximidate,4487010,sweet,C1=CC=C(C=C1)C(=NS(=O)(=O)C2=CC=CC=C2)[O-],flavorDB,The Aroma/Taste threshold values foris unknown
Gly-ser-phe,4526533,sweet,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CO)NC(=O)CN,flavorDB,The Aroma/Taste threshold values foris unknown
"oxane-2,4,5-triol",4561244,sweet,C1C(C(COC1O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
19322-27-1,4564493,"bready,caramel,cotton,sweet,sugar,candy",CC1=C(C(=O)CO1)O,flavorDB,The Aroma/Taste threshold values for4-HYDROXY-5-METHYL-3(2H)-FURANONEis unknown
N-Chlorosaccharin,4586058,sweet,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)Cl,flavorDB,The Aroma/Taste threshold values foris unknown
2-O-(a-D-Galactopyranosyl)-D-galactose,4623424,sweet,C(C1C(C(C(C(O1)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
23550-40-5,4682590,"rooty,blackcurrant,sulfury,musty,fruity,tropical,metallic,green",CC(=O)CC(C)(C)SC,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; green, sulfurous, metallic, horseradish, cabbage, vegetative and herbal nuances"
1-phenyl-3-(4-propoxyphenyl)urea,4943005,sweet-like,CCCOC1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,flavorDB,The Aroma/Taste threshold values foris unknown
vanillyl butyl ether,5084146,"vanilla,fruity",CCCCOCC1=CC(=C(C=C1)O)OC,flavorDB,The Aroma/Taste threshold values forVANILLYL BUTYL ETHERis unknown
butyl ethyl malonate,5140436,fruity,CCCCOC(=O)CC(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, sweet, faintly woody with a drying mouthfeel"
blood Group H disaccharide,5184980,sweet,CC1C(C(C(C(O1)OC2C(C(C(OC2O)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"Hexane-1,2,3,6-tetrol",5209802,sweet,C(CC(C(CO)O)O)CO,flavorDB,The Aroma/Taste threshold values foris unknown
"3,2'-Dihydroxychalcone",5270542,bitter,C1=CC=C(C(=C1)C(=O)/C=C/C2=CC(=CC=C2)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
propyl cinnamate,5270647,fruity,CCCOC(=O)/C=C/C1=CC=CC=C1,flavorDB,The Aroma/Taste threshold values forPROPYL CINNAMATEis unknown
Diethyl Maleate,5271566,banana,CCOC(=O)/C=C\C(=O)OCC,flavorDB,The Aroma/Taste threshold values foris unknown
Isopropyl cinnamate,5273464,floral,CC(C)OC(=O)/C=C/C1=CC=CC=C1,flavorDB,The Aroma/Taste threshold values forISOPROPYL CINNAMATEis unknown
butyl Cinnamate,5273465,floral,CCCCOC(=O)/C=C/C1=CC=CC=C1,flavorDB,The Aroma/Taste threshold values forBUTYL CINNAMATEis unknown
Isopentyl cinnamate,5273467,"amber,floral,musty,cocoa,orchid",CC(C)CCOC(=O)/C=C/C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 35 ppm; sweet, floral, powdery, berry, and spice nuances"
benzyl Cinnamate,5273469,floral,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; spicy, floral, fruity, balsamic"
fraxin,5273568,bitter,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Geranic Acid,5275520,"lemon,moldy,feet,acidic,dry,woody,weedy,green",CC(=CCC/C(=C/C(=O)O)/C)C,flavorDB,"Taste Threshold Values:Sweet, woody, leafy, fruity body with some mouthfeel effects at 20 ppm"
5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)tetradecan-3-one,5275726,"woody,musk",CCCCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,flavorDB,The Aroma/Taste threshold values foris unknown
Globotriose,5279515,sweet,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
(+/-)-Dihydrofarnesol,5280341,"floral,fruity,green",CC(CC/C=C(\C)/CCC=C(C)C)CCO,flavorDB,The Aroma/Taste threshold values for(+/–)-DIHYDROFARNESOLis unknown
quercetin,5280343,bitter,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
biochanin A,5280373,bitter,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
formononetin,5280378,bitter,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,flavorDB,The Aroma/Taste threshold values foris unknown
phytol,5280435,"powdery,delicate,waxy,floral,balsam,flower",C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C,flavorDB,"Aroma Threshold Values:Low strength odor, floral type"
apigenin,5280443,bitter,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
luteolin,5280445,bitter,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
linoleic acid,5280450,"fatty,faint",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
quercitrin,5280459,sweet-like,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
vomifoliol,5280462,fruity,CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C,flavorDB,The Aroma/Taste threshold values foris unknown
(Z)-cinnamyl alcohol,5280511,"oil,powdery,cinnamic,bitter,sweet,balsam,hyacinth,spicy,green",C1=CC=C(C=C1)/C=C\CO,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, floral, spicy and honey with a fermented yeasty nuance"
Herbacetin,5280544,bitter,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
farnesal,5280598,"floral,minty",CC(=CCC/C(=C/CC/C(=C/C=O)/C)/C)C,flavorDB,"The Aroma/Taste threshold values for3,7,11-TRIMETHYL-2,6,10-DODECATRIENALis unknown"
Cynaroside,5280637,sweet-like,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Gossypetin,5280647,bitter,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
