,Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma Taste Threshold Values
676,Allyl heptanoate,8878,"berry,pineapple,apricot,banana,waxy,sweet,fusel,fruity,cognac",CCCCCCC(=O)OCC=C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, pineapple-like with waxy tropical nuance"
677,Hexanoic Acid,8892,"fatty,sour,sweat,cheese",CCCCCC(=O)O,flavorDB,Aroma Threshold Values:93 ppb to 10 ppm
680,Hexyl acetate,8908,"apple,sweet,banana,fruit,green,herb,bitter,fruity",CCCCCCOC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; fruity, green, fresh, sweet, banana peel, apple and pear"
681,1-Nonanol,8914,"fatty,dusty,rose,fat,floral,green,clean,wet,orange,fresh,bitter,oily",CCCCCCCCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 0.5 to 1.0 ppm; waxy, green, coconut, cheese, milky and creamy with citrus orange nuances"
682,Nonyl Acetate,8918,"waxy,gardenia,soapy,tropical,fruit,green,clean,sweet,bitter,fruity",CCCCCCCCCOC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; waxy, stale milk, earthy mushroom, slightly metallic with cheesy nuances"
691,Citronellyl acetate,9017,"lemon,citrus,rose,floral,fruit,woody,fruity,tropical,dust,green",CC(CCC=C(C)C)CCOC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; floral, green, fruity, sweet, citrus and waxy character"
698,thiazole,9256,"nutty,pyridine,meaty",C1=CSC=N1,flavorDB,Aroma Threshold Values:3.1 ppm
699,pyrazine,9261,"hazelnut,roasted,barley,sweet corn,pungent",C1=CN=CC=N1,flavorDB,Aroma Threshold Values:300 ppm (odor threshold in water)
705,piperonyl Acetate,9473,"hawthorn,sweet,metallic,strawberry,jam,floral,bitter",CC(=O)OCC1=CC2=C(C=C1)OCO2,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; floral, soapy, fruity, berry and slightly jamy with a powdery nuance"
711,6-Methyl-5-Hepten-2-One,9862,"pepper,apple,mushroom,citrus,musty,rubber,nutty,green,hazelnut,bitter,lemongrass",CC(=CCCC(=O)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, vegetative, musty, apple, banana and green bean-like"
713,"1,4-Cineole",10106,"cooling,spice,green,terpene,minty,pine,camphor",CC(C)C12CCC(O1)(CC2)C,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; cooling, minty, menthol-like, green and herbal, with a terpy and campho-raceous nuance"
721,piperitol,10282,"herbal,herb",CC1=CC(C(CC1)C(C)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; slight latent cooling, trigeminal taste sensation, almost like sorbitol, but longer lasting"
727,Carvomenthone,10362,"minty,spearmint,herbal",CC1CCC(CC1=O)C(C)C,flavorDB,Aroma Threshold Values:800 ppb to 1.12 ppm
728,Carvacrol,10364,"woody,thymol,spice,camphor",CC1=C(C=C(C=C1)C(C)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5.0 ppm; spicy, herbal phenolic, medicinal and woody"
730,Citronellic acid,10402,"smoky,fatty,floral,grassy,green",CC(CCC=C(C)C)CC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 to 30 ppm; mild, floral, rosy, fruity melon with slight hints of citronella and citrus"
734,Isovaleric Acid,10430,"sour,sweat,acid,stinky,sweaty,animal,rancid,tropical,feet,cheese",CC(C)CC(=O)O,flavorDB,Aroma Threshold Values:190 ppb to 2.8 ppm
735,3-methylthiopropanol,10448,"sulfurous,potato,onion,vegetable,sweet,soup",CSCCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 0.5 ppm; metallic, tomato, potato, anchovy-like with savory brothy and malt-like nuances"
747,Myrtenol,10582,"mint,medical,woody,sweet,balsam,pine",CC1(C2CC=C(C1C2)CO)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; cooling, minty, camphoraceous, green mentholic spice with a medicinal nuance"
765,perilla alcohol,10819,"fatty,terpineol,linalool,green",CC(=C)C1CCC(=CC1)CO,flavorDB,Aroma Threshold Values:7 ppm
771,Ethyl pentanoate,10882,"yeast,apple,pineapple,fruit,sweet,fruity,tropical,green",CCCCC(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; fruity, strawberry, sweet, estry, fruity, pineapple, and tropical fruit"
772,Ethyl Levulinate,10883,"berry,pineapple,floral,sweet,fruity,rhubarb,green",CCOC(=O)CCC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; fruity, green, waxy and melon"
773,Isobutyl butyrate,10885,"apple,berry,pineapple,sweet,rum,fruity",CCCC(=O)OCC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; sweet, fruity, pineapple, apple, bubble gum and tutti-frutti"
774,pentyl Hexanoate,10886,"apple,pineapple,fatty,estery,sweet,fruity,pear,green",CCCCCC(=O)OCCCCC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, waxy, sweet and fruity with cognac-like notes"
775,pentyl butyrate,10890,"pineapple,banana,sweet,fruity,tropical,cherry",CCCCCOC(=O)CCC,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sweet, fruity, banana, pineapple and tropical"
776,Isobutyl propionate,10895,"banana,tutti frutti,sweet,fruity,green,bitter,ether",CCC(=O)OCC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, fruity, banana, tutti-frutti, with rummy nuances"
777,"1,2-Ethanedithiol",10902,sulfury,C(CS)S,flavorDB,Aroma Threshold Values:30 ppb
779,Isoamyl mercaptan,10925,"glue,onion",CC(C)CCS,flavorDB,Aroma Threshold Values:0.002 ppb
780,butyramide,10927,nutty,CCCC(=O)N,flavorDB,Aroma Threshold Values:Nutty type odor
783,Muscone,10947,"powdery,animal,fatty,sweet,musk,natural",CC1CCCCCCCCCCCCC(=O)C1,flavorDB,Aroma Threshold Values:9.8 ppb
784,Isobutyl formate,10957,"ether,sweet,fruity,chemical",CC(C)COC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; slightly sweet, fresh, gives lift, fruity"
787,2-Heptanol,10976,"lemon,mushroom,sweet,floral,green,herbal,fresh,grass,bitter,fruity",CCCCCC(C)O,flavorDB,Aroma Threshold Values:41 ppb to 81 ppb
790,Dibutyl sulfide,11002,"rose,herbal,violet-leaf,geranium,grassy,green",CCCCSCCCC,flavorDB,Aroma Threshold Values:0.88 ppb
791,tetradecanoic acid,11005,"fatty,soapy,waxy,coconut",CCCCCCCCCCCCCC(=O)O,flavorDB,Aroma Threshold Values:10 ppm
796,Methyl Isobutyrate,11039,"apple,pineapple,floral,fruity,flower",CC(C)C(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 35 ppm; sweet, ethereal, fruity and juicy fruit"
805,Methyl propionate,11124,"harsh,apple,strawberry,fresh,rum,fruity",CCC(=O)OC,flavorDB,Aroma Threshold Values:100 ppb to 8.8 ppm
810,Methyl isovalerate,11160,"strong,pineapple,apple,fruity",CC(C)CC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 80 ppm; fruity, pineapple, apple with a juicy, fruit-like nuance"
811,Methyl Isothiocyanate,11167,"horseradish,mustard,pungent",CN=C=S,flavorDB,Aroma Threshold Values:Very high strength odor
813,3-Methyl-2-buten-1-Ol,11173,"lavender,fruity,herb,green",CC(=CCO)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; green, fruity"
814,propyl Isovalerate,11176,"sweet,bitter,apple,fruity",CCCOC(=O)CC(C)C,flavorDB,Aroma Threshold Values:8.7 to 33 ppb
816,terpinen-4-ol,11230,"must,pepper,turpentine,musty,woody,sweet,nutmeg,earth",CC1=CCC(CC1)(C(C)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sweet, citrus green with a tropical fruity character"
820,"2,6-Dimethylphenol",11335,"rooty,coffee,sweet,medicinal,phenolic",CC1=C(C(=CC=C1)C)O,flavorDB,Aroma Threshold Values:400 ppb
823,"1-phenyl-1,2-propanedione",11363,"buttery,pepper,honey,plastic",CC(=O)C(=O)C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; cultured creamy, dairylike and slightly astringent with a slight spicy caraway/cumin nuance"
834,terpinolene,11463,"citrus,fresh,sweet,woody,pine,plastic",CC1=CCC(=C(C)C)CC1,flavorDB,"Taste Threshold Values:Taste characteristics at 2 to 25 ppm; woody, terpy, lemon and lime-like with a slight herbal and floral nuance"
838,3-Methyl-1-pentanol,11508,"wine,fusel,cocoa,fruity,cognac,green",CCC(C)CCO,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; whiskey, green, apple with an alcoholic nuance"
839,3-Hexanone,11509,"ether,waxy,grape,sweet,rum,fruity",CCCC(=O)CC,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sweet, fruity and waxy with rum notes"
840,Isobutyl Isovalerate,11514,"apple,banana,sweet,fruity,raspberry,green",CC(C)CC(=O)OCC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; sweet, green, fruity, banana with fresh nuances"
842,3-Heptanol,11520,"herbal,powerful,bitter,herb",CCCCC(CC)O,flavorDB,Aroma Threshold Values:240 to 410 ppb
844,3-Octanol,11527,"citrus,nut,moss,herbal,earthy,woody,melon,minty,mushroom,spicy",CCCCCC(CC)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; musty, mushroom, earthy, creamy dairy, dirty with an herbal, minty nuance"
845,butyl propionate,11529,"rose,banana,earthy,weak,sweet",CCCCOC(=O)CC,flavorDB,Aroma Threshold Values:25 to 440 ppb
849,alpha-Angelica lactone,11559,floral,CC1=CCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 100 ppm; sweet, creamy, coconut, vanilla hay and coumarin-like nuances"
850,3-Methylcyclohexanone,11567,"camphoraceous,minty,medicinal,camphor",CC1CCCC(=O)C1,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; minty, sweet, lifting cooling with a slight ethereal solvent-like impact; fresh and slightly medicinal"
853,Levulinic Acid,11579,"caramel,acetoin,acidic,sweet,buttery",CC(=O)CCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 70 ppm; acidic, sweet, creamy and slight dairy"
856,butyl isothiocyanate,11613,"sulfur,citrus,wine_like,vegetable,sulfury,fatty,floral,earthy,woody,pungent,fruity,herbaceous,nutty,meaty,spicy,green",CCCCN=C=S,flavorDB,"Taste Threshold Values:0.5 to 5 ppm. Horseradish and vegetative cabbage-like with rooty, wasabi, radishlike notes and leaving a biting and metallic aftertaste"
857,butyl formate,11614,"brandy,plum,fruity,rum",CCCCOC=O,flavorDB,Aroma Threshold Values:800 ppb to 6 ppm
858,Diallyl Sulfide,11617,"sulfurous,garlic,onion,horseradish,metallic",C=CCSCC=C,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; sulfureous, onion–garlic and vegetative radish-like with a slightly hot nuance"
859,2-tridecanone,11622,"coconut,herbal,milky,waxy,fatty,earthy,dairy,nutty",CCCCCCCCCCCC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fatty and earthy with a fatty mouthfeel and with a dairy, ketonic, waxy, creamy, cheesy, dairy and coconut"
861,3-Methyl-2-butanol,11732,fruity,CC(C)C(C)O,flavorDB,Aroma Threshold Values:410 to 820 ppb
862,"2,3-pentanedione",11747,"butter,cream,caramel,sweet,pungent,creamy,nutty,cheese",CCC(=O)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; sweet buttery, creamy, cheesy, slightly toasted dairy, with a rich baked goods nuance and a good mouthfeel"
866,Methyl 2-furoate,11902,"tobacco,fungal,sweet,fruity,mushroom",COC(=O)C1=CC=CO1,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; brothy, yeasty, caramellic and burnt with a sweet bready, acetoin, buttery nuance"
869,1-penten-3-Ol,12020,"butter,pungent,tropical,horseradish,green,vegetable,bitter,fruity",CCC(C=C)O,flavorDB,Taste Threshold Values:Taste characteristics at 15 ppm
871,Ethyl pyruvate,12041,floral,CCOC(=O)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 60 ppm; sweet, rum-like with a fruity ethereal nuance"
872,Isopropyl Isobutyrate,12044,"citrus,pineapple,sweet,fruity,pear",CC(C)C(=O)OC(C)C,flavorDB,Aroma Threshold Values:26 to 60 ppb
874,5-Methylfurfural,12097,"caramel,spice,burnt sugar,maple,almond",CC1=CC=C(O1)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sweet, brown, caramellic, grain, maple-like"
877,Cyclohexyl Acetate,12146,"musty,sweet,fruity,ethereal",CC(=O)OC1CCCCC1,flavorDB,Taste Threshold Values:Taste characteristics at 30 ppm
880,3-Hexanol,12178,"alcoholic,alcohol,ether,medicinal",CCCC(CC)O,flavorDB,Aroma Threshold Values:820 ppb to 2.5 ppm
881,Methyl butyrate,12180,"apple,pineapple,ether,banana,fruit,sweet,fruity",CCCC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity and apple-like with a sweet almost buttery, nutty and creamy nuance, fusel-like, impacting, and estry with a cultured dairy, acidic depth"
883,Methyl valerate,12206,"apple,pineapple,sweet,fruity,nutty,green",CCCCC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; sweet, ripe, fruity with sweaty, dairy and cheesy nuances"
884,2-Methylbutyl Acetate,12209,"overripe fruit,banana,fruit,sweet,peanut,juicy",CCC(C)COC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; fruity, sweet, banana, juicy fruit and tutti-frutti note"
886,Ethyl methyl sulfide,12230,"sulfur,garlic,vegetable,sulfury,fatty,earthy,woody,nutty,wine_like,meaty,spicy,citrus,sulfurous,coffee,herbaceous,green,cabbage,pyridine,tomato,fishy,floral,fruity",CCSC,flavorDB,"Taste Threshold Values:Taste characteristics at 0.25 to 2 ppm; sulfurous, vegetative, dimethyl sulfide-like sweet corn notes, eggy, meaty and clam nuances"
887,Dimethyl disulfide,12232,"citrus,cabbage,sulfurous,putrid,wine_like,onion,vegetable,fatty,floral,earthy,woody,fruity,herbaceous,nutty,meaty,spicy,green",CSSC,flavorDB,Aroma Threshold Values:90 ppb
888,Isopropyl formate,12257,"ethereal,cocoa,tropical,solvent",CC(C)OC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 35 ppm; sweet, fruity with a berry lift"
890,"2,5-Dimethylfuran",12266,"roast,ethereal,bacon,chemical,gravy,beef,meaty",CC1=CC=C(O1)C,flavorDB,Taste Threshold Values:Chemical meaty gravy taste at 30 ppm in water
891,2-pentyl Acetate,12278,"herbal,tropical",CCCC(C)OC(=O)C,flavorDB,Aroma Threshold Values:Detection at 0.001 to 0.002 ppm (water)
892,propyl Hexanoate,12293,"pineapple,fruit,sweet,fruity,tropical,juicy,green",CCCCCC(=O)OCCC,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; pineapple, fruity, sweet, tropical, fresh green and juicy"
893,butyl hexanoate,12294,"berry,pineapple,wine,fruit,fruity",CCCCCC(=O)OCCCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, pineapple, green, waxy, tutti-frutti with a slight fermented fruit note"
895,Ethyl Undecanoate,12327,"coconut,waxy,fatty,soapy,cognac",CCCCCCCCCCC(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; cheesy, buttery, creamy, rum and cognac-like, with fruity apple and banana nuances. Taste characteristics at 25 ppm:waxy, creamy, slight fruity with coconut and cherry nuance"
897,5-Methylhexanoic Acid,12344,"fatty,oily,fruity,cheese",CC(C)CCCC(=O)O,flavorDB,Aroma Threshold Values:4.6 to 27 ppm
899,Ethyl palmitate,12366,"mild,wax,milky,waxy,creamy,fruity,balsam",CCCCCCCCCCCCCCCC(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; waxy, fruity, creamy and fermented with a vanilla, balsamic nuance"
900,2-Nonanol,12367,"citrus,orange,waxy,cucumber,creamy,fruity,cheese,green",CCCCCCCC(C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; waxy, soapy, musty with green, fruity and dairy nuances"
901,Dipropyl disulfide,12377,"burnt,onion,sulfury,earthy,green",CCCSSCCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; alliaceous, sulfurous, green, vegetative and asefetida nuances"
910,tetrahydrofurfuryl Acetate,12506,"brown,caramel,ether,sweet,rum,fruity,maple",CC(=O)OCC1CCCO1,flavorDB,"Taste Threshold Values:Taste characteristics at 100 ppm; sweet, brown, caramel-like with nutty, rummy nuances"
912,Isopropyl propionate,12508,"banana,sweet,ether,pineapple,bitter,fruity",CCC(=O)OC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; fruity, berry with a slight bubble gum nuance"
920,4-Methylbiphenyl,12566,"mint,fennel,waxy,floral,wintergreen,anise,spicy",CC1=CC=C(C=C1)C2=CC=CC=C2,flavorDB,"Taste Threshold Values:Taste characteristics at 12 ppm; spicy, estragole, fennel, floral and wintergreen"
922,propyl Isobutyrate,12571,"berry,ripe,sweet,melon,tropical,fruity",CCCOC(=O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 to 15 ppm; sweet, fruity, with ripe, tropical, tutti-fruiti and citrus melon nuances"
924,4-propylphenol,12580,"medicinal,phenolic",CCCC1=CC=C(C=C1)O,flavorDB,Aroma Threshold Values:500 ppb
925,4-Methylpentanoic Acid,12587,"pungent,cheese",CC(C)CCC(=O)O,flavorDB,Aroma Threshold Values:810 ppb
928,Isoamyl Isovalerate,12613,"apple,jammy,ripe,sweet,fruity,tropical,mango,green",CC(C)CCOC(=O)CC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; green, fruity, estry, apple, pineapple and tutti-frutti"
929,Ethyl 10-Undecenoate,12729,"waxy,musty,creamy,clean,fruity,soapy,cognac",CCOC(=O)CCCCCCCCC=C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; fatty, waxy green with fruity nuances"
932,gamma-Caprolactone,12756,"coconut,tobacco,coumarin,herbal,sweet",CCC1CCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 75 ppm; sweet, creamy, vanilla-like with green lactonic powdery nuances"
933,delta-Octanolactone,12777,"peach,coconut,fatty,sweet,tropical,dairy,tonka",CCCC1CCCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; coconut, sweet, creamy, lactonic and fruity with a milky and oily depth"
934,benzyl methyl disulfide,12779,"cabbage,sulfurous,vegetable,metallic,green",CSSCC1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sulfureous, vegetative, metallic, green, with an onion nuance"
936,Delta-Decalactone,12810,"peach,butter,coconut,apricot,fresh,oily,creamy,plum,sweet,fruity,dairy",CCCCCC1CCCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; waxy, coconut, lactonic, fatty, creamy, nutty and fruity"
937,gamma-Decalactone,12813,"peach,coconut,caramel,fat,waxy,fresh,oily,fatty,sweet,fruity,strong,buttery",CCCCCCC1CCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; creamy, fatty, oily, buttery sweet, coconut, fruity and peach-like"
938,Delta-Dodecalactone,12844,"peach,butter,coconut,fresh,oily,fruit,sweet,creamy,metallic,buttery,cheese",CCCCCCCC1CCCC(=O)O1,flavorDB,"Taste Threshold Values:Taste. characteristics. at. 10. ppm;  strong. fatty. creamy,. stale. milky. lactonic. massoia. notes. with. a. dairy mouthfeel"
943,2-Nonanone,13187,"soap,herbal,fresh,fishy,hot milk,earthy,sweet,soapy,weedy,green",CCCCCCCC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; cheesy, green, fruity, dairy, dirty, and buttery"
945,trithioacetone,13233,"burnt,sulfurous,earthy,blackberry,green",CC1(SC(SC(S1)(C)C)(C)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 0.35 to 0.50 ppm; fruity, sulfurous, tangy berry, with cooling catty minty black cur-rant and tropical nuances"
946,Methyl 2-methylbutyrate,13357,"apple,tutti frutti,fatty,sweet,fruity,green",CCC(C)C(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 7.5 ppm; sweet, berry, pineapple, etherial, lifting, fruity, tutti-fruitti and ripe with a fatty, green nuance"
947,Allyl Mercaptan,13367,"sulfurous,roasted,garlic,onion,alliaceous",C=CCS,flavorDB,Aroma Threshold Values:0.005 ppb
949,3-Decanone,13576,"citrus,orange,waxy,floral,fruity,green",CCCCCCCC(=O)CC,flavorDB,Aroma Threshold Values:Detection at 0.025 to 0.041 ppm in water
962,Hexyl octanoate,14228,"oil,apple,berry,waxy,ester,fruity,herb,green",CCCCCCCC(=O)OCCCCCC,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; green, apple, fruity, berry, with fresh, waxy nuances"
965,2-Acetylpyridine,14286,"tobacco,oily,fatty,heavy,popcorn,corn,chip",CC(=O)C1=CC=CC=N1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; cornmeal with nutty, bready nuance"
967,"2,3,5,6-tetramethylpyrazine",14296,"chocolate,burnt,lard,musty,coffee,cocoa,soybean,nutty",CC1=C(N=C(C(=N1)C)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; weak, nutty, musty cocoa and chocolate-like with dry coffee nuances"
970,2-Methylheptanoic Acid,14475,"butter,sweaty,waxy,green,milk,cheese",CCCCCC(C)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; waxy, soapy, oily and fatty"
971,prenyl acetate,14489,"jasmin,banana,fresh,ripe,heliotrope,sweet,fruity,balsam,lavender",CC(=CCOC(=O)C)C,flavorDB,"Taste Threshold Values:Sweet banana, fruity, ripe, floral, green at 30 ppm in water"
975,2-Acetylfuran,14505,"caramel,tobacco,balsamic,potato,coffee,sweet,cocoa,peanut,balsam,almond,beef",CC(=O)C1=CC=CO1,flavorDB,Aroma Threshold Values:10 ppm
976,3-Methyl-2-Cyclohexen-1-One,14511,"cherry,caramel,nut,phenolic",CC1=CC(=O)CCC1,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; nutty, musty, phenolic and woody with grain-like nuances"
977,2-Acetyl-5-Methylfuran,14514,"coconut,coumarin,milky,musty,hay,strong,nutty",CC1=CC=C(O1)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; nutty, cocoa-like with toasted, bready nuance"
982,beta-pinene,14896,"resinous,resin,turpentine,green,hay,woody,pine,dry",CC1(C2CCC(=C)C1C2)C,flavorDB,"Taste Threshold Values:Taste characteristics at 15 to 100 ppm; fresh, piney and woody, terpy and resinous with a slight minty, spicy and camphoraceous nuance"
988,1-furfurylpyrrole,15037,"vegetable,waxy,plastic,coffee,fruity,green",C1=CN(C=C1)CC2=CC=CO2,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; vegetative, onion, sharp and metallic"
995,"4-Methyl-2-pentyl-1,3-dioxolane",15336,"vegetable skin,rue,licorice,petroleum,waxy,fresh,clean,green",CCCCCC1OCC(O1)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; fruity, sweet, green and waxy"
997,Ethyl vinyl Ketone,15394,"peppery,mustard,garlic,onion,fish,pungent",CCC(=O)C=C,flavorDB,"Taste Threshold Values:Taste characteristics at 5.0 ppm; pungent, ethereal, peppery, garlic, onion, fishy and mustard with a hot nuance"
999,fenchol,15406,"dry,lemon,borneol,sweet,pine,camphor,woody,bitter",CC1(C2CCC(C2)(C1O)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; intense camphoraceous, cooling, piney with an earthy nuance. It has minty-citrus lime and spicy notes"
1002,2-Undecanol,15448,"waxy,cotton,fresh,sarsaparilla,clean cloth",CCCCCCCCCC(C)O,flavorDB,Aroma Threshold Values:8.6 to 41 ppb
1005,Cyclopentanethiol,15510,"citrus,wine_like,garlic,onion,vegetable,egg,alliaceous,fatty,floral,earthy,woody,horseradish,fruity,celery,herbaceous,nutty,meaty,spicy,green",C1CCC(C1)S,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; alliaceous, onion, garlic, horseradish, meat, egg, burned, vegetable, celery"
1008,Methyl Nonanoate,15606,"coconut,wine,waxy,sweet,fruity,tropical,pear",CCCCCCCCC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 10 ppm; winey, waxy, green, celery and pear with an unripe fruit nuance"
1009,4-Methyl-5-vinylthiazole,15654,"vegetable,musty,cocoa,root,nutty",CC1=C(SC=N1)C=C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; nutty, musty, earthy, cocoa powder-like"
1014,Ethyl 3-phenylpropionate,16237,"rose,rum,fruity,honey,hyacinth,flower",CCOC(=O)CCC1=CC=CC=C1,flavorDB,Aroma Threshold Values:17 to 40 ppb
1015,Isopentyl octanoate,16255,"coconut,pineapple,oily,sweet,fruity,soapy,green",CCCCCCCC(=O)OCCC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; sweet, fruity, waxy, pineapple, fruity and green with coconut and cognac nuances"
1019,Allyl butyrate,16324,"peach,pineapple,apricot,waxy,sweet,pungent,fruity,tropical,green",CCCC(=O)OCC=C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, green, tropical with sweet, fermented waxy nuances"
1020,butyl salicylate,16330,"harsh,clover,ethyl benzoate",CCCCOC(=O)C1=CC=CC=C1O,flavorDB,Aroma Threshold Values:Detection 5 to 7 ppb
1023,perillaldehyde,16441,"mint,spice,fat,herbal,fresh,oily,fatty,sweet,cherry,grassy,cumin,green",CC(=C)C1CCC(=CC1)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; aromatic, orange, albedo, woody, spicy, waxy, sweet, citrus, lime and aldehydic"
1026,Diallyl Disulfide,16590,"garlic,onion,metallic,alliaceous",C=CCSSCC=C,flavorDB,Taste Threshold Values:Taste characteristics at 2 ppm
1028,Methyl propyl disulfide,16592,"mustard,onion,tomato,radish,sulfury",CCCSSC,flavorDB,"Taste Threshold Values:Taste characteristics at 0.5 ppm; onion, garlic, tomato, potato, alliaceous and vegetative"
1029,Isopentyl hexanoate,16617,"apple,pineapple,banana,fruity,green",CCCCCC(=O)OCCC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; fruity, green, pineapple with a waxy nuance"
1030,l-Menthol,16666,"cooling,tobacco,mentholic,peppermint,camphoraceous,minty",C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; cooling, camphoreous, minty with a clean eucalyptus note"
1031,d-Carvone,16724,"caraway,bread,spice",CC1=CC[C@@H](CC1=O)C(=C)C,flavorDB,Aroma Threshold Values:2.7 to 600 ppb
1033,2-pentylpyridine,16800,"tallow,pepper,fat,herbal,fatty,mushroom,green",CCCCCC1=CC=CC=N1,flavorDB,"Taste Threshold Values:Taste characteristics at 1 ppm; green pepper vegetative, mushroom-like, musty, oily, meaty and MSG-like"
1034,gamma-Dodecalactone,16821,"peach,fatty,musty,fruit,sweet,fruity,metallic,flower",CCCCCCCCC1CCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 10 ppm; sweet, fruity peach, milky fatty and waxy with a pulpy fruity mouthfeel"
